"spend","Display","Paid Search","Paid Social"
1181083.3530589,8824.10355297097,17162.8247371501,2556.62343104922
1185087.02544215,8839.82470929574,17185.7704787727,2557.79362406276
1189090.6978254,8855.48364837274,17208.5892612993,2558.9511832243
1193094.37020865,8871.08061642979,17231.2817871963,2560.09624493374
1197098.0425919,8886.61585872023,17253.8487550433,2561.22894411839
1201101.71497515,8902.08961952683,17276.2908595547,2562.34941424877
1205105.3873584,8917.50214216558,17298.6087916009,2563.45778735445
1209109.05974165,8932.85366898951,17320.8032382299,2564.55419403954
1213112.7321249,8948.14444139258,17342.8748826882,2565.6387634981
1217116.40450815,8963.37469981337,17364.8244044417,2566.71162352937
1221120.0768914,8978.54468373895,17386.6524791972,2567.77290055279
1225123.74927465,8993.65463170859,17408.3597789224,2568.82271962297
1229127.4216579,9008.70478131753,17429.9469718672,2569.86120444436
1233131.09404115,9023.69536922071,17451.4147225841,2570.88847738584
1237134.7664244,9038.62663113652,17472.7636919484,2571.90465949517
1241138.43880766,9053.49880185045,17493.994537179,2572.90987051321
1245142.11119091,9068.31211521885,17515.1079118583,2573.90422888808
1249145.78357416,9083.06680417254,17536.1044659525,2574.88785178906
1253149.45595741,9097.76310072052,17556.9848458314,2575.86085512045
1257153.12834066,9112.4012359536,17577.7496942885,2576.82335353518
1261156.80072391,9126.98144004804,17598.3996505607,2577.77546044836
1265160.47310716,9141.50394226918,17618.935350348,2578.71728805061
1269164.14549041,9155.96897097499,17639.3574258331,2579.64894732133
1273167.81787366,9170.37675361975,17659.6665057008,2580.5705480417
1277171.49025691,9184.72751675754,17679.8632151572,2581.48219880769
1281175.16264016,9199.02148604586,17699.9481759495,2582.38400704282
1285178.83502341,9213.25888624916,17719.9220063845,2583.27607901083
1289182.50740666,9227.43994124238,17739.7853213479,2584.15851982818
1293186.17978991,9241.56487401444,17759.5387323232,2585.03143347646
1297189.85217316,9255.63390667179,17779.1828474109,2585.89492281464
1301193.52455641,9269.64726044188,17798.7182713464,2586.74908959118
1305197.19693966,9283.60515567663,17818.1456055194,2587.59403445604
1309200.86932291,9297.50781185593,17837.465447992,2588.42985697249
1313204.54170616,9311.35544759104,17856.6783935171,2589.2566556289
1317208.21408942,9325.14828062808,17875.7850335571,2590.07452785034
1321211.88647267,9338.88652785141,17894.7859563016,2590.88357000999
1325215.55885592,9352.57040528706,17913.6817466858,2591.68387744061
1329219.23123917,9366.20012810614,17932.4729864085,2592.47554444566
1333222.90362242,9379.77591062822,17951.1602539499,2593.2586643105
1337226.57600567,9393.29796632464,17969.7441245895,2594.03332931331
1341230.24838892,9406.76650782197,17988.2251704237,2594.79963073603
1345233.92077217,9420.18174690529,18006.6039603835,2595.55765887507
1349237.59315542,9433.54389452149,18024.881060252,2596.30750305198
1353241.26553867,9446.85316078268,18043.057032682,2597.04925162394
1357244.93792192,9460.1097549694,18061.1324372129,2597.7829919942
1361248.61030517,9473.31388553399,18079.1078302881,2598.50881062238
1365252.28268842,9486.4657601038,18096.9837652725,2599.22679303464
1369255.95507167,9499.56558548449,18114.760792469,2599.93702383377
1373259.62745492,9512.61356766329,18132.4394591356,2600.63958670915
1377263.29983817,9525.60991181221,18150.0203095026,2601.33456444663
1381266.97222142,9538.55482229128,18167.5038847889,2602.02203893825
1385270.64460467,9551.44850265179,18184.8907232186,2602.70209119194
1389274.31698792,9564.29115563943,18202.1813600383,2603.37480134101
1393277.98937117,9577.08298319755,18219.3763275326,2604.04024865365
1397281.66175442,9589.82418647027,18236.4761550413,2604.69851154221
1401285.33413768,9602.51496580569,18253.4813689751,2605.34966757249
1405289.00652093,9615.15552075902,18270.3924928322,2605.99379347286
1409292.67890418,9627.74605009571,18287.2100472143,2606.63096514328
